JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
PMGR-F-002,Project Manager,Fresher,0-1,Understanding of Agile and Scrum methodologies; Basic project planning and scheduling; Team collaboration; Communication skills; Problem-solving; Time management; Familiarity with Jira and Trello; Budgeting basics; Critical thinking; Reporting basics,Support project coordination and scheduling; Track tasks and milestones; Assist in risk identification and mitigation; Maintain project documentation; Coordinate with teams for timely deliverables; Generate basic status reports,Project Management; Agile; Scrum; Kanban; Microsoft Project; Jira; Trello; Budget Planning; KPI Tracking; Team Collaboration
PMGR-F-003,Project Manager,Fresher,0-1,"Basic knowledge of Waterfall and Agile; Task and milestone tracking; Communication and coordination; Problem-solving and critical thinking; Time management; Team collaboration; Familiarity with project tools (MS Project, Trello); Resource allocation basics; Reporting and documentation; Adaptability",Assist senior PMs in planning and execution; Track project tasks and progress; Participate in status meetings; Document project updates; Support risk identification; Help in KPI monitoring,Project Management; Agile; Waterfall; Scrum; Time Management; Resource Allocation; Microsoft Project; Jira; KPI Tracking; Team Collaboration
PMGR-F-004,Project Manager,Fresher,0-1,"Project management methodology basics; Communication and interpersonal skills; Time management; Problem-solving; Teamwork and collaboration; Familiarity with Jira, MS Project, Trello; Basic budgeting; Task scheduling; Reporting; Adaptability",Support project planning and coordination; Maintain task lists and timelines; Assist in reporting and documentation; Help track KPIs; Coordinate with team members; Identify basic risks and issues,Project Management; Agile; Scrum; Waterfall; Team Collaboration; KPI Tracking; Microsoft Project; Jira; Trello; Problem-solving
PMGR-F-005,Project Manager,Fresher,0-1,"Understanding of Agile, Scrum, Waterfall; Basic project planning; Team collaboration; Communication; Time management; Problem-solving; Resource allocation basics; KPI tracking; Familiarity with MS Project and Trello; Adaptability",Assist in project scheduling and coordination; Support task tracking and milestone monitoring; Maintain project documentation; Participate in team meetings; Assist in reporting KPIs and progress; Identify risks and support mitigation plans,Project Management; Agile; Scrum; Waterfall; Time Management; Stakeholder Communication; Resource Allocation; Team Collaboration; KPI Tracking; Microsoft Project
PMGR-E-006,Project Manager,Experienced,5-Mar,"Advanced project planning and scheduling; Risk management and mitigation; Stakeholder management and negotiation; Team leadership and conflict resolution; Change management; Budgeting and resource allocation; Use of MS Project, Primavera, Jira; Data-driven reporting and dashboards; Cross-functional collaboration; Strategic alignment with business goals",Lead project planning and execution; Manage project risks and develop mitigation strategies; Coordinate with stakeholders and manage expectations; Supervise team members and resolve conflicts; Ensure project alignment with organizational goals; Track and report project KPIs; Control project budget and resources,Project Planning; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; KPI Tracking
PMGR-E-007,Project Manager,Experienced,6-Apr,"Project scheduling and execution; Budget and resource management; Risk assessment and mitigation; Stakeholder communication; Team leadership; Conflict resolution; Change management; Use of Jira, MS Project, Primavera; Data-driven reporting; Strategic project alignment",Oversee project planning and execution; Manage budget and resource allocation; Assess project risks and implement mitigation plans; Engage with stakeholders; Lead teams and resolve conflicts; Report KPIs and progress; Align projects with business strategy,Project Planning; Risk Management; Stakeholder Management; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-008,Project Manager,Experienced,7-May,"Advanced project planning; Scheduling and budgeting; Risk and quality management; Stakeholder engagement; Team leadership; Conflict resolution; Change management; Use of project management tools (MS Project, Jira, Trello); Reporting and dashboards; Strategic alignment","Lead end-to-end project delivery; Manage budgets, resources, and schedules; Mitigate risks and ensure quality standards; Communicate with stakeholders and teams; Resolve conflicts and manage change; Track KPIs and generate reports; Ensure project aligns with business goals",Project Planning; Risk Management; Stakeholder Management; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Dashboards
PMGR-E-009,Project Manager,Experienced,9-Jun,"Project lifecycle management; Advanced scheduling and budgeting; Risk and quality oversight; Stakeholder communication; Team management and conflict resolution; Change management; Reporting and dashboard creation; Data-driven decision making; Use of MS Project, Primavera, Jira, Trello; Strategic project alignment","Plan and execute projects end-to-end; Manage project budget, resources, and timelines; Monitor risks and quality; Engage stakeholders and teams effectively; Resolve conflicts and lead teams; Provide dashboards and reporting for KPIs; Ensure strategic project alignment",Project Management; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-010,Project Manager,Experienced,10-Jul,"End-to-end project management; Advanced scheduling, budgeting, and resource allocation; Risk assessment and mitigation; Stakeholder management; Team leadership and conflict resolution; Change management; Use of project management tools (MS Project, Jira, Trello, Asana); Reporting and dashboard creation; Strategic planning; Cross-functional collaboration","Lead multiple projects concurrently; Manage budgets, timelines, and resources; Identify and mitigate project risks; Communicate with stakeholders and leadership; Oversee teams and resolve conflicts; Generate KPI dashboards and reports; Ensure projects align with organizational strategy",Project Planning; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
PMGR-E-011,Project Manager,Experienced,12-Aug,"Strategic project management; Advanced budgeting and resource allocation; Risk and quality management; Stakeholder engagement; Team leadership; Conflict resolution; Change management; Reporting and analytics; Use of MS Project, Primavera, Jira; Cross-functional collaboration",Lead strategic initiatives and projects; Allocate resources and manage budgets; Monitor risks and quality standards; Communicate and coordinate with stakeholders; Lead teams and resolve conflicts; Generate analytical reports and dashboards; Ensure project alignment with business objectives,Project Management; Risk Management; Stakeholder Engagement; Team Leadership; Agile; Scrum; Waterfall; Microsoft Project; Jira; Reporting
